id,display_name,category,cost_wood,cost_stone,cost_iron,cost_coal,cost_gold,cost_ironbar,housing_capacity,max_workers,batches_per_tick,production_interval_sec,max_health,defense,fog_reveal_radius,storage_group,storage_capacity,storage_capacity_2,storage_capacity_3,max_health_2,max_health_3,defense_2,defense_3,housing_capacity_2,housing_capacity_3,max_workers_2,max_workers_3,batches_per_tick_2,batches_per_tick_3,requires,up2_wood,up2_stone,up2_iron,up2_coal,up2_gold,up3_wood,up3_stone,up3_iron,up3_coal,up3_gold,comment,total_cost,per_day,payback_days,starts_unlocked,research_coins,research_sec,research_coins_2,research_sec_2,research_coins_3,research_sec_3,happiness,happiness_2,happiness_3,citizens_on_build,harvest_radius,harvest_radius_2,harvest_radius_3,service_radius,service_radius_2,service_radius_3
Hovel,Лачуга,City,10,0,0,0,0,0,5,0,0,6,80,0,10,,,,,128,200,,,8,10,,,,,,16,0,0,0,0,28,0,0,0,0,,10,0,,1,0,0,15,60,25,120,,,,,,,,,,
Cottage,Коттедж,City,25,8,0,0,0,0,8,0,0,6,120,0,10,,,,,192,300,,,12,16,,,,,Hovel,40,13,0,0,0,70,22,0,0,0,"Требует Лачугу: жильё поприличнее ставится только там, где уже есть базовое.",33,0,,0,20,60,30,60,50,120,,,,,,,,,,
Manor,Особняк,City,55,25,0,0,0,0,14,0,0,6,200,0,12,,,,,320,500,,,20,28,,,,,Cottage,88,40,0,0,0,154,70,0,0,0,Третья ступень жилья: требует Коттедж.,80,0,,0,50,60,70,60,120,120,,,,,,,,,,
Castle,Ратуша,City,0,0,0,0,0,0,7,0,0,6,400,20,20,,,,,640,1000,32,50,7,7,,,,,,100,60,0,0,0,220,150,0,20,40,"Ставится бесплатно, поэтому стоимости апгрейдов заданы руками, а не формулой от базовой цены.",0,0,,1,0,0,15,60,25,120,,,,5,,,,,,
FisherHut,Рыбацкая хижина,Food,15,0,0,0,0,0,0,2,1,24,90,0,12,,,,,144,225,,,,,3,4,,,,24,0,0,0,0,42,0,0,0,0,,15,10,"1,5",1,0,0,15,60,25,120,,,,,,,,,,
Farm,Ферма,Food,15,5,0,0,0,0,0,3,4,24,70,0,10,,,,,112,175,,,,,4,5,,,,24,8,0,0,0,42,14,0,0,0,Пшеница -> Амбар. Первое звено цепочки.,20,60,"0,3",0,10,60,20,60,30,120,,,,,,,,,,
Sawmill,Лесопилка,Production,20,5,0,0,0,0,0,3,2,6,100,0,15,,,,,160,250,,,,,,,,,,32,8,0,0,0,56,14,0,0,0,,25,120,"0,2",1,0,0,20,60,40,120,,,,,12,17,24,,,
Quarry,Каменоломня,Production,20,0,0,0,0,0,0,3,2,6,110,0,14,,,,,176,275,,,,,,,,,,32,0,0,0,0,56,0,0,0,0,,20,120,"0,2",1,0,0,20,60,30,120,,,,,20,28,38,,,
IronMine,Железный рудник,Production,25,15,0,0,0,0,0,3,1,6,110,0,14,,,,,176,275,,,,,,,,,,40,24,0,10,0,70,42,0,22,0,"Копать глубже за рудой = топливо для горна и насосов, поэтому в апгрейдах уголь.",40,60,"0,7",0,25,60,35,60,60,120,,,,,,,,,,
CoalMine,Угольный рудник,Production,25,10,0,0,0,0,0,3,2,6,100,0,14,,,,,160,250,,,,,,,,,,40,16,6,0,0,70,28,14,0,0,Железная крепь для глубоких пластов — связывает две шахты друг с другом.,35,120,"0,3",0,20,60,30,60,50,120,,,,,,,,,,
Warehouse,Склад,Storage,30,10,,,,0,0,0,0,6,120,0,8,Materials,300,600,1000,192,300,,,,,,,,,,48,16,,,,84,28,,,,"Дерево, камень, железо, уголь. Ёмкость растёт с уровнем сильнее прочности — ради этого его и улучшают.",40,0,,1,0,0,35,60,60,120,,,,,,,,,,
Barn,Амбар,Storage,25,5,,,,0,0,0,0,6,100,0,8,Grain,200,400,700,160,250,,,,,,,,,,40,8,,,,70,14,,,,"Амбар: только пшеница, прямо с поля.",30,0,,0,20,60,25,60,45,120,,,,,,,,,,
Treasury,Сокровищница,Storage,10,40,,,,0,0,0,0,6,200,0,8,Valuables,500,1000,1800,320,500,,,,,,,,,,16,64,,,,28,112,,,,"Золото и монеты. Дороже прочих в камне: то, что в ней лежит, приходит грабить.",50,0,,0,30,60,45,60,75,120,,,,,,,,,,
BigWarehouse,Большой склад,Storage,80,40,,,,0,0,0,0,6,260,0,8,Materials,800,1600,2600,416,650,,,,,,,,,Warehouse,128,64,,,,224,112,,,,Второй ярус хранения материалов: требует обычный Склад.,120,0,,0,70,60,110,60,180,120,,,,,,,,,,
