key,value,comment
army_max_size,20,Общий предел армии по всем группам
raid_interval_seconds,90,Через сколько секунд портал шлёт следующий набег
raid_base_size,2,Размер набега на первый день
raid_max_size,8,Потолок размера набега
portal_max_health,320,Запас прочности портала
defence_attack_interval_seconds,1,Как часто бьёт здание с защитой (стена/башня/казармы/ворота)
defence_attack_range_meters,6,Радиус обстрела здания с защитой
day_length_seconds,120,Длина игрового дня в реальных секундах
coins_per_citizen_per_day_at_max_tax,"0,5",Монет с жителя в день при налоге 100%
decay_per_day_at_level1,"0,02",Ветхость в день у здания 1 уровня; делится на уровень
decay_penalty_threshold,"0,7",С какой ветхости начинает падать производство
min_decay_production_multiplier,"0,5",Во сколько раз падает производство при 100% ветхости
repair_cost_fraction,"0,4",Доля стоимости постройки за полный ремонт
wood_per_tree,5,Сколько всего дерева в одном дереве; кончилось — дерево исчезает и через минуту вырастает новое
stone_per_rock,20,Сколько всего камня в одном валуне; кончилось — валун исчезает НАВСЕГДА
wood_per_harvest,5,Сколько дерева рабочий уносит за одну ходку (равно запасу дерева — валится с одного раза)
stone_per_harvest,2,Сколько камня рабочий откалывает за одну ходку
harvest_seconds,15,Сколько секунд занимает одна добыча у дерева или валуна
building_upgrade_level2_multiplier,"1,6",Только для формул на вкладке buildings
building_upgrade_level3_multiplier,"2,8",Только для формул на вкладке buildings
base_capacity_materials,200,Сколько дерева/камня/железа/угля вмещает поселение без единого склада
base_capacity_food,100,Сколько еды вмещает поселение без амбара
base_capacity_valuables,300,Сколько золота и монет вмещает поселение без сокровищницы
base_capacity_grain,150,Сколько пшеницы вмещает поселение без амбара
food_per_mouth_per_day,1,Сколько еды съедает один рот (житель или солдат) за день
hungry_days_before_deaths,2,Сколько дней подряд можно голодать до первых смертей
food_variety_target,2,Сколько разных видов еды считается полным разнообразием (фактор довольства)
deaths_memory_days,3,За сколько последних дней довольство помнит смерти
happiness_penalty_per_death,10,На сколько очков падает фактор потерь за каждого умершего в этом окне
research_seconds_per_worker,5,На сколько секунд каждый учёный сверх первого ускоряет изучение
research_free_workers,1,Сколько первых учёных не дают ускорения (один нужен просто чтобы изучение шло)
research_cancel_refund_percent,70,Сколько процентов монет возвращается при отмене изучения игроком
research_min_seconds,5,"Пол длительности изучения: сколько бы ни было учёных, быстрее не выйдет"
happiness_per_citizen_target,"0,8",Сколько очков развлечений на жителя считается полным довольством от развлечений
migration_happiness_threshold,30,"Довольство, при котором никто не приходит и не уходит; выше — приходят, ниже — уходят"
migration_arrive_interval_at_threshold_sec,90,Через сколько секунд приходит новосёл сразу над порогом довольства
migration_arrive_interval_at_full_sec,30,Через сколько секунд приходит новосёл при довольстве 100
migration_leave_interval_at_threshold_sec,90,Через сколько секунд уходит житель сразу под порогом довольства
migration_leave_interval_at_zero_sec,30,Через сколько секунд уходит житель при довольстве 0
migration_min_population,1,Сколько жителей никогда не уйдут — поселение не проигрывает от недовольства
settling_in_seconds,420,Сколько секунд после постройки Ратуши поселение обживается и миграция заморожена
raid_progress_per_extra_raider,40,За сколько очков развития игрока в набеге появляется ещё один орк
raid_progress_per_orc_level,150,За сколько очков развития игрока орки в набеге поднимаются на уровень
raid_max_orc_level,5,Потолок уровня орков в набеге
raid_min_interval_seconds,45,Самый короткий интервал между набегами в конце игры
raid_progress_at_min_interval,400,При каком развитии игрока интервал между набегами доходит до минимума
progress_per_building_level,1,Очков развития за каждый уровень каждого построенного здания
progress_per_citizen,1,Очков развития за каждого жителя
progress_per_soldier_level,2,Очков развития за каждый уровень каждого солдата
progress_per_defence_point,"0,2",Очков развития за каждое очко защиты построек; защита идёт от 10 до 138 — поэтому вес дробный
progress_per_produced_unit,"0,02",Очков развития за каждую произведённую или добытую единицу ресурса за всю игру
fire_chance_per_day_at_full_decay,"0,3",Шанс в день, что загорится полностью ветхое здание; новое не горит никогда
fire_spread_chance_per_day,"0,4",Шанс в день, что огонь перекинется на каждого соседа в радиусе
fire_spread_radius_meters,6,Дальше этого огонь не перекидывается — промежутки между кварталами работают
fire_damage_per_second,3,Сколько прочности съедает пожар за секунду
fire_burn_seconds,60,Сколько горит здание, которое некому тушить
fire_seconds_saved_per_firefighter,12,На сколько секунд каждый пожарный в радиусе сокращает пожар
fire_min_burn_seconds,5,Быстрее этого пожар не потушить никаким числом пожарных
sickness_base_chance_per_day,"0,01",Шанс в день заболеть в сытом и обводнённом поселении
sickness_hunger_chance_per_day,"0,15",Насколько шанс выше, пока поселение голодает
sickness_thirst_chance_per_day,"0,12",Насколько шанс выше для домов вне радиуса колодца
sickness_days_before_death,3,Сколько дней больной доживёт без лечения
heal_per_healer_per_day,2,Сколько больных в день выхаживает один лекарь
,,
Ключи в колонке key читает код: переименование = потерянная настройка (импорт напишет об этом ошибкой).,,
