key,ru,en,comment
#menu_title,СТРОИТЕЛЬ ГОРОДОВ,CITY BUILDER,
#menu_subtitle,мобильный градостроитель,a mobile city builder,
#menu_new_game,Новая игра,New Game,
#menu_load_game,Загрузить игру,Load Game,
#menu_settings,Настройки,Settings,
#menu_quit,Выход,Quit,
#settings_title,Настройки,Settings,
#settings_language,Язык,Language,
#settings_back,Назад,Back,
#ui_close,Закрыть,Close,
#ui_cancel,Отмена,Cancel,
#ui_back,Назад,Back,
#ui_free,Бесплатно,Free,
#hud_menu,Меню,Menu,
#hud_save,Сохранить,Save,
#hud_workforce,Жители,Citizens,
#hud_status,{0} · День {1},{0} · Day {1},"{0} — ступень поселения, {1} — номер дня"
#hud_place_hint,Выберите место для Ратуши ({0}x{1}),Choose a spot for the Town Hall ({0}x{1}),
#exit_title,Выйти в главное меню?,Return to the main menu?,
#exit_warning,Несохранённые изменения будут потеряны.,Unsaved progress will be lost.,
#exit_confirm,Выйти,Quit,
#save_title,Сохранить игру,Save Game,
#save_confirm,Сохранить,Save,
#load_title,Загрузить игру,Load Game,
#load_empty,Нет сохранений,No saved games,
#load_confirm,Загрузить,Load,
#load_selected,Выбрано: {0},Selected: {0},
#building_level,Уровень: {0} / {1},Level: {0} / {1},
#building_condition,Прочность: {0}/{1}   Защита: {2}   Ветхость: {3},Health: {0}/{1}   Defence: {2}   Wear: {3},
#building_happiness,Довольство: +{0},Contentment: +{0},"Строка карточки здания развлечений — у него нет ни работников, ни производства"
#building_no_decay,не изнашивается,never wears out,
#building_workers,Рабочие: {0} / {1},Workers: {0} / {1},
#building_idle_citizens,Свободных жителей: {0},Idle citizens: {0},
#building_produces,Производит: {0} / {1} с на работника,Produces: {0} / {1}s per worker,"{0} — рецепт, {1} — интервал в секундах"
#building_assign,Назначить,Hire,
#building_unassign,Снять,Dismiss,
#building_upgrade,Улучшить,Upgrade,
#building_repair,Отремонтировать,Repair,
#building_recruit,Нанять ополченца,Recruit militia,
#recipe_conversion,{0} -> {1},{0} -> {1},"{0} — что уходит, {1} — что получается"
#recipe_batches, x{0}, x{0},"Множитель партий, если их больше одной"
#workforce_title,Жители и работы,Citizens and Work,
#workforce_empty,Пока негде работать — постройте производство,Nowhere to work yet — build something that produces,
#workforce_summary,Свободных жителей: {0}   ·   Всего: {1},Idle: {0}   ·   Total: {1},
#workforce_gives,даёт {0},makes {0},
#workforce_idle_building,ничего не производит,produces nothing,
#happiness_title,Довольство: {0}%,Contentment: {0}%,
#happiness_breakdown,Налог {0} · Ветхость {1} · Оборона {2}\nЕда {3} · Потери {4} · Развлечения {5},Tax {0} · Wear {1} · Defence {2}\nFood {3} · Losses {4} · Fun {5},
#migration_settling,Поселение обживается: {0},The settlement is finding its feet: {0},"Льгота после постройки Ратуши — миграция заморожена"
#migration_arriving,Новосёл через {0},New settler in {0},
#migration_leaving,Житель уходит через {0},A citizen leaves in {0},
#migration_no_room,Некуда селить новосёлов,Nowhere left to house newcomers,"Довольства хватает, но все места заняты"
#migration_balanced,Поселение не растёт,The settlement is not growing,"Довольство ровно на пороге — никто не приходит и не уходит"
#migration_deserted,Уходить больше некому,Nobody left to leave,"Недовольство упёрлось в минимальное население"
#tax_rate,Налог: {0}%,Tax: {0}%,
#army_summary,Армия: {0}/{1}   Содержание: {2} мон./день,Army: {0}/{1}   Upkeep: {2} coins/day,
#army_target_units,Цель: враги,Target: enemies,
#army_target_buildings,Цель: строения,Target: buildings,
#army_full,Армия полна ({0}),The army is full ({0}),
#army_no_citizens,Нет свободных жителей,No idle citizens,
#army_no_coins,Не хватает монет,Not enough coins,
#unit_militia,Ополчение,Militia,
#unit_militia_flavour,жители с вилами,townsfolk with pitchforks,
#over_victory,Победа,Victory,
#over_defeat,Поражение,Defeat,
#over_victory_reason,Все порталы орков закрыты.,Every orc portal is closed.,
#over_defeat_reason,Ратуша разрушена.,The Town Hall is destroyed.,
#over_to_menu,В главное меню,Main menu,
#log_day,День {0}: {1},Day {0}: {1},
#log_built,Построено: {0},Built: {0},
#log_destroyed_decay,Разрушено от ветхости: {0},Fell apart from neglect: {0},
